,Date,Day#_Timeframe,Timestamp,Timeframe,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State
1201,2019.11.23,,12.46.36,,20,5G,-106,-15,-5.0,9,-85,11926,126,D
1202,2019.11.23,,12.46.37,,20,5G,-106,-15,-5.0,9,-89,3912,47,D
1203,2019.11.23,,12.46.38,,20,5G,-104,-19,-12.0,9,-89,8940,65,D
1204,2019.11.23,,12.46.39,,20,5G,-104,-19,-12.0,9,-91,14,25,D
1227,2019.11.23,,12.47.03,,16,5G,-101,-18,-3.0,7,-86,11,1,D
1246,2019.11.23,,12.47.24,,16,5G,-98,-14,4.0,10,-78,28933,150,D
1261,2019.11.23,,12.47.40,,16,5G,-97,-11,4.0,15,-78,15,101,D
1262,2019.11.23,,12.47.41,,16,5G,-97,-15,5.0,15,-81,24057,652,D
1263,2019.11.23,,12.47.42,,16,5G,-97,-15,5.0,15,-81,20028,541,D
1264,2019.11.23,,12.47.43,,16,5G,-96,-12,0.0,15,-77,2599,57,D
1265,2019.11.23,,12.47.44,,16,5G,-96,-12,0.0,15,-77,59,55,D
