,Date,Day,Timestamp,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State
1297,2019.11.23,,13.51.45,1,5G,-99,-14,1.0,11,-82,9947,166,D
1298,2019.11.23,,13.51.46,1,5G,-99,-15,0.0,11,-82,2802,42,D
1303,2019.11.23,,13.51.51,1,5G,-100,-12,5.0,14,-84,11,0,D
1334,2019.11.23,,13.52.25,1,5G,-99,-14,-4.0,11,-83,16,26,D
1338,2019.11.23,,13.52.29,1,5G,-100,-15,5.0,11,-83,14,26,D
1340,2019.11.23,,13.52.31,1,5G,-100,-13,-2.0,11,-83,4706,76,D
1341,2019.11.23,,13.52.32,1,5G,-100,-13,-2.0,11,-83,7207,138,D
1342,2019.11.23,,13.52.33,1,5G,-101,-15,5.0,11,-87,453,7,D
1343,2019.11.23,,13.52.34,1,5G,-101,-15,5.0,12,-85,16280,176,D
1385,2019.11.23,,13.53.20,1,5G,-100,-13,-7.0,7,-110,2172,38,D
1386,2019.11.23,,13.53.21,1,5G,-99,-13,1.0,14,-82,1773,34,D
1388,2019.11.23,,13.53.23,1,5G,-99,-13,-1.0,14,-82,4214,104,D
1389,2019.11.23,,13.53.24,1,5G,-99,-13,-1.0,14,-82,6892,119,D
1390,2019.11.23,,13.53.25,1,5G,-99,-13,0.0,14,-82,9033,190,D
1391,2019.11.23,,13.53.26,1,5G,-99,-13,0.0,14,-82,2034,31,D
1394,2019.11.23,,13.53.29,1,5G,-100,-13,-2.0,14,-82,14,23,D
1423,2019.11.23,,13.54.01,1,5G,-98,-13,3.0,12,-82,11,0,D
1432,2019.11.23,,13.54.10,1,5G,-100,-14,3.0,11,-84,3545,55,D
1433,2019.11.23,,13.54.11,1,5G,-100,-14,3.0,11,-84,4157,87,D
1434,2019.11.23,,13.54.12,1,5G,-101,-14,-1.0,11,-84,4636,88,D
1435,2019.11.23,,13.54.13,1,5G,-101,-14,-1.0,11,-87,1194,19,D
1436,2019.11.23,,13.54.14,1,5G,-102,-13,2.0,8,-84,814,48,D
1437,2019.11.23,,13.54.16,1,5G,-102,-13,2.0,10,-87,188,5,D
1438,2019.11.23,,13.54.17,1,5G,-101,-12,-6.0,9,-84,489,7,D
1448,2019.11.23,,13.54.27,1,5G,-100,-14,11.0,14,-85,14,0,D
1476,2019.11.23,,13.54.58,1,5G,-100,-12,4.0,12,-83,2014,32,D
1477,2019.11.23,,13.54.59,1,5G,-100,-12,4.0,12,-83,8807,145,D
1478,2019.11.23,,13.55.00,1,5G,-100,-13,-2.0,12,-83,4864,88,D
1502,2019.11.23,,13.55.26,1,5G,-101,-13,0.0,12,-83,16,1,D
1505,2019.11.23,,13.55.29,1,5G,-100,-11,7.0,12,-83,18,30,D
1520,2019.11.23,,13.55.45,1,5G,-99,-14,-4.0,11,-110,7459,131,D
1521,2019.11.23,,13.55.46,1,5G,-99,-14,-4.0,11,-110,7767,134,D
1522,2019.11.23,,13.55.47,1,5G,-99,-17,-3.0,11,-110,1780,28,D
1566,2019.11.23,,13.56.35,1,5G,-101,-15,-2.0,11,-84,6755,108,D
1568,2019.11.23,,13.56.37,1,5G,-100,-12,8.0,11,-84,9238,153,D
1579,2019.11.23,,13.56.49,1,5G,-98,-11,7.0,14,-81,27,41,D
1609,2019.11.23,,13.57.21,1,5G,-100,-12,4.0,9,-87,147,6,D
1610,2019.11.23,,13.57.22,1,5G,-100,-11,6.0,10,-85,3581,19,D
1613,2019.11.23,,13.57.26,1,5G,-100,-10,6.0,10,-87,15,26,D
1651,2019.11.23,,13.58.07,1,5G,-101,-11,5.0,10,-110,8478,66,D
1652,2019.11.23,,13.58.08,1,5G,-101,-11,4.0,10,-110,3495,20,D
1668,2019.11.23,,13.58.25,1,5G,-99,-12,-1.0,11,-110,15,26,D
1694,2019.11.23,,13.58.53,1,5G,-101,-11,9.0,10,-85,166,18,D
1695,2019.11.23,,13.58.54,1,5G,-101,-11,9.0,10,-85,37,7,D
1696,2019.11.23,,13.58.55,1,5G,-100,-10,7.0,10,-85,1038,26,D
1697,2019.11.23,,13.58.56,1,5G,-100,-10,7.0,12,-83,1062,61,D
1700,2019.11.23,,13.59.00,1,5G,-100,-13,2.0,12,-85,13,5,D
1702,2019.11.23,,13.59.02,1,5G,-100,-12,6.0,12,-85,11,1,D
1711,2019.11.23,,13.59.11,1,5G,-99,-10,-3.0,12,-87,13,1,D
1712,2019.11.23,,13.59.13,1,5G,-100,-11,-3.0,14,-85,23,2,D
1714,2019.11.23,,13.59.15,1,5G,-99,-12,8.0,13,-85,45,2,D
1717,2019.11.23,,13.59.18,1,5G,-100,-12,0.0,9,-82,777,22,D
1718,2019.11.23,,13.59.19,1,5G,-99,-11,8.0,9,-82,1818,30,D
1719,2019.11.23,,13.59.20,1,5G,-99,-11,8.0,8,-88,11450,129,D
1720,2019.11.23,,13.59.21,1,5G,-99,-11,3.0,13,-85,10218,79,D
1724,2019.11.23,,13.59.25,1,5G,-100,-10,7.0,12,-85,15,26,D
1728,2019.11.23,,13.59.30,1,5G,-100,-12,-3.0,12,-87,11,1,D
1761,2019.11.23,,14.00.05,1,5G,-100,-15,0.0,9,-84,209,13,D
1762,2019.11.23,,14.00.06,1,5G,-100,-15,-3.0,9,-84,13512,118,D
1763,2019.11.23,,14.00.08,1,5G,-100,-15,-3.0,9,-84,1185,11,D
1779,2019.11.23,,14.00.25,1,5G,-100,-16,0.0,13,-83,18,31,D
1804,2019.11.23,,14.00.52,1,5G,-101,-15,2.0,15,-84,5301,99,D
1805,2019.11.23,,14.00.53,1,5G,-101,-15,2.0,15,-84,6558,112,D
1807,2019.11.23,,14.00.55,1,5G,-101,-13,-3.0,9,-82,12,5,D
1808,2019.11.23,,14.00.56,1,5G,-102,-16,-5.0,10,-110,22,33,D
1809,2019.11.23,,14.00.57,1,5G,-102,-16,-5.0,10,-110,5027,134,D
1810,2019.11.23,,14.00.58,1,5G,-102,-17,-2.0,10,-110,1939,32,D
1815,2019.11.23,,14.01.04,1,5G,-100,-12,4.0,10,-83,2088,44,D
1816,2019.11.23,,14.01.05,1,5G,-102,-14,3.0,10,-83,22,1,D
1817,2019.11.23,,14.01.06,1,5G,-102,-14,3.0,9,-85,1177,17,D
1835,2019.11.23,,14.01.25,1,5G,-101,-15,3.0,9,-110,16,26,D
1845,2019.11.23,,14.01.36,1,5G,-99,-13,4.0,10,-84,11,0,D
1851,2019.11.23,,14.01.43,1,5G,-102,-13,6.0,10,-110,7686,82,D
1852,2019.11.23,,14.01.44,1,5G,-101,-16,-2.0,8,-84,8563,69,D
1891,2019.11.23,,14.02.26,1,5G,-101,-13,-1.0,12,-87,15,1,D
1894,2019.11.23,,14.02.29,1,5G,-100,-12,0.0,13,-84,5751,108,D
1895,2019.11.23,,14.02.30,1,5G,-100,-12,0.0,13,-84,4408,74,D
1896,2019.11.23,,14.02.31,1,5G,-100,-16,0.0,13,-84,2404,44,D
1937,2019.11.23,,14.03.15,1,5G,-101,-16,-3.0,11,-84,3503,65,D
1938,2019.11.23,,14.03.16,1,5G,-99,-18,-4.0,13,-82,1890,49,D
1939,2019.11.23,,14.03.17,1,5G,-99,-18,-4.0,13,-82,3480,59,D
1940,2019.11.23,,14.03.18,1,5G,-100,-15,-2.0,13,-82,2898,55,D
1941,2019.11.23,,14.03.20,1,5G,-100,-15,-2.0,13,-82,2598,57,D
1942,2019.11.23,,14.03.21,1,5G,-100,-16,-3.0,10,-84,2765,46,D
1943,2019.11.23,,14.03.22,1,5G,-100,-16,-3.0,14,-87,11,0,D
1944,2019.11.23,,14.03.23,1,5G,-101,-13,4.0,9,-85,8539,135,D
1946,2019.11.23,,14.03.25,1,5G,-101,-14,-3.0,9,-85,15,26,D
1964,2019.11.23,,14.03.44,1,5G,-100,-14,-3.0,6,-86,11,1,D
1986,2019.11.23,,14.04.08,1,5G,-101,-14,12.0,13,-85,5590,105,D
1987,2019.11.23,,14.04.09,1,5G,-101,-14,12.0,11,-110,8176,149,D
1988,2019.11.23,,14.04.10,1,5G,-102,-13,8.0,11,-110,1481,19,D
