,Unnamed: 0,Date,Day,Timestamp,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,Rolling_avg
82,82,2020.01.06,Day1,09:58:12,0,5G,-104,-13.0,-5.0,14,-110,285,9,D,
83,83,2020.01.06,Day1,09:58:14,0,5G,-104,-13.0,-5.0,14,-110,7234,53,D,
84,84,2020.01.06,Day1,09:58:16,0,5G,-104,-13.0,-5.0,14,-110,275,7,D,
85,85,2020.01.06,Day1,09:58:18,0,5G,-104,-13.0,-5.0,14,-110,6062,42,D,
86,86,2020.01.06,Day1,09:58:19,0,5G,-104,-13.0,-5.0,14,-110,279,8,D,
87,87,2020.01.06,Day1,09:58:23,0,5G,-104,-13.0,-5.0,14,-110,3783,28,D,
88,88,2020.01.06,Day1,09:58:24,0,5G,-104,-13.0,-5.0,14,-110,278,8,D,
89,89,2020.01.06,Day1,09:58:26,0,5G,-104,-13.0,-5.0,14,-110,2957,23,D,
90,90,2020.01.06,Day1,09:58:28,0,5G,-104,-13.0,-5.0,14,-110,3593,26,D,
91,91,2020.01.06,Day1,09:58:30,0,5G,-104,-13.0,-5.0,14,-110,278,8,D,
92,92,2020.01.06,Day1,09:58:32,0,5G,-104,-13.0,-5.0,14,-110,278,9,D,
93,93,2020.01.06,Day1,09:58:34,0,5G,-104,-13.0,-5.0,14,-110,9204,59,D,
94,94,2020.01.06,Day1,09:58:35,0,5G,-104,-13.0,-5.0,14,-110,279,8,D,
95,95,2020.01.06,Day1,09:58:38,0,5G,-104,-13.0,-5.0,14,-110,2262,27,D,
96,96,2020.01.06,Day1,09:58:40,0,5G,-104,-13.0,-5.0,14,-110,280,8,D,
97,97,2020.01.06,Day1,09:58:42,0,5G,-104,-13.0,-5.0,14,-110,2702,29,D,
98,98,2020.01.06,Day1,09:58:44,0,5G,-104,-13.0,-5.0,14,-110,12174,759,D,
99,99,2020.01.06,Day1,09:58:45,0,5G,-104,-13.0,-5.0,14,-110,35,524,D,
100,100,2020.01.06,Day1,09:58:46,0,5G,-104,-13.0,-5.0,14,-110,279,8,D,
101,101,2020.01.06,Day1,09:58:48,0,5G,-104,-13.0,-5.0,14,-110,4626,26,D,
102,102,2020.01.06,Day1,09:58:49,0,5G,-104,-13.0,-5.0,14,-110,11822,47,D,
103,103,2020.01.06,Day1,09:58:53,0,5G,-104,-13.0,-5.0,14,-110,9664,46,D,
104,104,2020.01.06,Day1,09:58:54,0,5G,-104,-13.0,-5.0,14,-110,281,8,D,
105,105,2020.01.06,Day1,09:58:56,0,5G,-104,-13.0,-5.0,14,-110,4003,25,D,
106,106,2020.01.06,Day1,09:58:58,0,5G,-104,-13.0,-5.0,14,-110,277,9,D,
107,107,2020.01.06,Day1,09:59:00,0,5G,-104,-13.0,-5.0,14,-110,7170,41,D,
108,108,2020.01.06,Day1,09:59:02,0,5G,-104,-13.0,-5.0,14,-110,277,8,D,
109,109,2020.01.06,Day1,09:59:04,0,5G,-104,-13.0,-5.0,14,-110,278,9,D,
110,110,2020.01.06,Day1,09:59:07,0,5G,-104,-13.0,-5.0,14,-110,5392,35,D,
111,111,2020.01.06,Day1,09:59:09,0,5G,-104,-13.0,-5.0,14,-110,2196,15,D,
112,112,2020.01.06,Day1,09:59:12,0,5G,-104,-13.0,-5.0,14,-110,5976,34,D,
113,113,2020.01.06,Day1,09:59:14,0,5G,-104,-13.0,-5.0,14,-110,3830,29,D,
114,114,2020.01.06,Day1,09:59:16,0,5G,-104,-13.0,-5.0,14,-110,5637,34,D,
115,115,2020.01.06,Day1,09:59:17,0,5G,-104,-13.0,-5.0,14,-110,278,8,D,
116,116,2020.01.06,Day1,09:59:20,0,5G,-104,-13.0,-5.0,14,-110,284,11,D,
117,117,2020.01.06,Day1,09:59:22,0,5G,-104,-13.0,-5.0,14,-110,14081,68,D,
118,118,2020.01.06,Day1,09:59:24,0,5G,-104,-13.0,-5.0,14,-110,279,8,D,
119,119,2020.01.06,Day1,09:59:26,0,5G,-104,-13.0,-5.0,14,-110,11698,64,D,
120,120,2020.01.06,Day1,09:59:28,0,5G,-104,-13.0,-5.0,14,-110,275,7,D,
121,121,2020.01.06,Day1,09:59:30,0,5G,-104,-13.0,-5.0,14,-110,5536,38,D,
122,122,2020.01.06,Day1,09:59:32,0,5G,-104,-13.0,-5.0,14,-110,279,8,D,
123,123,2020.01.06,Day1,09:59:33,0,5G,-104,-13.0,-5.0,14,-110,279,8,D,
124,124,2020.01.06,Day1,09:59:37,0,5G,-104,-13.0,-5.0,14,-110,4130,22,D,
125,125,2020.01.06,Day1,09:59:38,0,5G,-104,-13.0,-5.0,14,-110,3851,24,D,
126,126,2020.01.06,Day1,09:59:40,0,5G,-104,-13.0,-5.0,14,-110,277,7,D,
127,127,2020.01.06,Day1,09:59:42,0,5G,-104,-13.0,-5.0,14,-110,4759,24,D,
128,128,2020.01.06,Day1,09:59:44,0,5G,-104,-13.0,-5.0,14,-110,4488,698,D,
129,129,2020.01.06,Day1,09:59:45,0,5G,-104,-13.0,-5.0,14,-110,14,2,D,
130,130,2020.01.06,Day1,09:59:46,0,5G,-104,-13.0,-5.0,14,-110,279,8,D,
131,131,2020.01.06,Day1,09:59:47,0,5G,-104,-13.0,-5.0,14,-110,7888,47,D,
132,132,2020.01.06,Day1,09:59:50,0,5G,-104,-13.0,-5.0,14,-110,279,8,D,
133,133,2020.01.06,Day1,09:59:52,0,5G,-104,-13.0,-5.0,14,-110,5849,42,D,
134,134,2020.01.06,Day1,09:59:54,0,5G,-104,-13.0,-5.0,14,-110,281,9,D,
135,135,2020.01.06,Day1,09:59:56,0,5G,-104,-13.0,-5.0,14,-110,279,8,D,
136,136,2020.01.06,Day1,09:59:58,0,5G,-104,-13.0,-5.0,14,-110,7156,38,D,
137,137,2020.01.06,Day1,09:59:59,0,5G,-104,-13.0,-5.0,14,-110,273,9,D,
