,Date,Day,Day_Timeframe,Timestamp,Timeframe,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State
154,2019.11.28,,,07.30.43,,21,5G,-87,-9,12.0,11,-72,284,11,D
155,2019.11.28,,,07.30.43,,21,5G,-90,-9,13.0,11,-72,1172,26,D
156,2019.11.28,,,07.30.44,,21,5G,-90,-9,13.0,11,-72,279,10,D
158,2019.11.28,,,07.30.46,,21,5G,-95,-13,5.0,10,-77,1261,30,D
159,2019.11.28,,,07.30.48,,21,5G,-94,-14,8.0,14,-74,281,10,D
161,2019.11.28,,,07.30.50,,21,5G,-95,-12,11.0,9,-77,282,10,D
162,2019.11.28,,,07.30.51,,21,5G,-95,-12,11.0,14,-,1344,21,D
164,2019.11.28,,,07.30.53,,21,5G,-93,-11,8.0,15,-66,409,17,D
166,2019.11.28,,,07.30.56,,21,5G,-94,-11,-7.0,12,-79,282,10,D
167,2019.11.28,,,07.30.57,,21,5G,-98,-13,9.0,14,-,418,117,D
168,2019.11.28,,,07.30.57,,33,5G,-98,-13,9.0,14,-,418,117,D
169,2019.11.28,,,07.30.58,,33,5G,-98,-13,9.0,14,-,1556,892,D
170,2019.11.28,,,07.30.59,,33,5G,-92,-11,8.0,14,-,403,12,D
171,2019.11.28,,,07.31.00,,33,5G,-92,-11,8.0,15,-74,277,12,D
173,2019.11.28,,,07.31.02,,33,5G,-97,-11,5.0,12,-80,2305,49,D
174,2019.11.28,,,07.31.03,,33,5G,-97,-13,5.0,9,-77,278,9,D
176,2019.11.28,,,07.31.06,,33,5G,-95,-12,3.0,11,-73,281,10,D
179,2019.11.28,,,07.31.08,,31,5G,-98,-12,6.0,14,-78,2310,58,D
180,2019.11.28,,,07.31.09,,31,5G,-98,-12,6.0,15,-68,280,9,D
182,2019.11.28,,,07.31.11,,31,5G,-97,-12,5.0,10,-79,323,49,D
183,2019.11.28,,,07.31.13,,31,5G,-100,-13,7.0,10,-79,2089,68,D
184,2019.11.28,,,07.31.14,,31,5G,-100,-13,7.0,10,-79,288,71,D
186,2019.11.28,,,07.31.16,,31,5G,-97,-11,3.0,14,-81,277,8,D
188,2019.11.28,,,07.31.18,,31,5G,-98,-9,3.0,12,-79,1528,33,D
189,2019.11.28,,,07.31.19,,31,5G,-99,-12,-2.0,10,-76,277,10,D
191,2019.11.28,,,07.31.22,,31,5G,-94,-10,-2.0,11,-74,2093,33,D
194,2019.11.28,,,07.31.24,,32,5G,-95,-16,11.0,14,-74,277,9,D
196,2019.11.28,,,07.31.26,,32,5G,-92,-12,6.0,11,-70,987,25,D
198,2019.11.28,,,07.31.29,,32,5G,-93,-9,4.0,14,-71,3621,72,D
199,2019.11.28,,,07.31.30,,32,5G,-93,-9,4.0,14,-71,282,9,D
201,2019.11.28,,,07.31.32,,32,5G,-91,-11,11.0,15,-,1062,19,D
204,2019.11.28,,,07.31.34,,42,5G,-92,-9,7.0,13,-73,282,7,D
205,2019.11.28,,,07.31.35,,42,5G,-90,-8,14.0,13,-73,1485,65,D
207,2019.11.28,,,07.31.38,,42,5G,-96,-10,12.0,15,-76,279,10,D
