,Date,Day,Timestamp,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State
1181,2019.11.26,,09.48.21,0,5G,-93,-12,-1.0,7,-76,132,100,D
1182,2019.11.26,,09.48.22,0,5G,-93,-12,-1.0,7,-76,736,58,D
1183,2019.11.26,,09.48.23,0,5G,-93,-14,0.0,7,-76,8285,155,D
1184,2019.11.26,,09.48.25,0,5G,-93,-14,0.0,4,-72,10541,124,D
1223,2019.11.26,,09.49.07,0,5G,-91,-15,2.0,8,-76,60,12,D
1224,2019.11.26,,09.49.08,0,5G,-91,-15,2.0,9,-110,18,1,D
1238,2019.11.26,,09.49.23,0,5G,-92,-16,-1.0,8,-74,18,32,D
1239,2019.11.26,,09.49.24,0,5G,-90,-13,-6.0,8,-74,16,24,D
1240,2019.11.26,,09.49.25,0,5G,-90,-13,-6.0,6,-110,10034,777,D
1241,2019.11.26,,09.49.26,0,5G,-90,-13,0.0,6,-110,52065,1366,D
1242,2019.11.26,,09.49.27,0,5G,-90,-13,0.0,7,-76,16018,483,D
