,Timestamp,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State
648,08.13.59,0,5G,-91,-11,0.0,11,-68,2,4,D
650,08.14.01,0,5G,-90,-10,3.0,11,-68,2,4,D
652,08.14.03,0,5G,-91,-10,2.0,12,-70,2,4,D
669,08.14.22,0,5G,-90,-11,4.0,9,-68,2,4,D
671,08.14.24,0,5G,-91,-14,-7.0,6,-70,2,4,D
678,08.14.31,0,5G,-90,-10,5.0,6,-69,22071,94,D
687,08.14.41,0,5G,-90,-14,-8.0,9,-68,2,4,D
689,08.14.43,0,5G,-90,-12,-5.0,9,-68,2,4,D
691,08.14.45,0,5G,-90,-13,-8.0,10,-69,2,4,D
697,08.14.52,0,5G,-89,-12,3.0,10,-69,16,28,D
708,08.15.04,0,5G,-90,-13,-1.0,10,-69,2,4,D
710,08.15.06,0,5G,-90,-13,3.0,10,-69,2,4,D
720,08.15.17,0,5G,-90,-12,-1.0,10,-69,18464,111,D
726,08.15.23,0,5G,-90,-10,3.0,10,-69,2,4,D
728,08.15.25,0,5G,-90,-13,0.0,10,-69,2,4,D
730,08.15.27,0,5G,-90,-13,3.0,5,-69,2,4,D
747,08.15.46,0,5G,-90,-10,2.0,10,-71,2,4,D
749,08.15.48,0,5G,-89,-12,4.0,5,-73,2,4,D
753,08.15.52,0,5G,-90,-10,-9.0,8,-69,15,27,D
762,08.16.02,0,5G,-89,-12,-1.0,8,-69,20508,108,D
765,08.16.05,0,5G,-90,-11,1.0,8,-69,2,4,D
767,08.16.07,0,5G,-90,-11,1.0,6,-69,2,4,D
769,08.16.09,0,5G,-90,-10,5.0,6,-69,2,4,D
785,08.16.27,0,5G,-91,-13,2.0,6,-69,2,4,D
786,08.16.28,0,5G,-91,-13,2.0,6,-69,2,4,D
788,08.16.30,0,5G,-90,-11,4.0,6,-69,2,4,D
804,08.16.47,0,5G,-90,-11,2.0,10,-69,16914,87,D
806,08.16.49,0,5G,-89,-12,2.0,10,-69,44,17,D
807,08.16.50,0,5G,-90,-10,4.0,10,-69,54,1,D
808,08.16.51,0,5G,-90,-10,4.0,10,-69,2,4,D
809,08.16.52,0,5G,-90,-12,1.0,10,-69,15,27,D
824,08.17.08,0,5G,-90,-13,5.0,9,-68,2,4,D
827,08.17.12,0,5G,-90,-14,1.0,10,-68,2,4,D
843,08.17.29,0,5G,-90,-13,4.0,8,-69,2,4,D
844,08.17.30,0,5G,-90,-13,4.0,8,-69,1,1,D
845,08.17.31,0,5G,-89,-11,-8.0,8,-69,2,4,D
846,08.17.32,0,5G,-89,-11,-8.0,8,-69,7164,53,D
847,08.17.33,0,5G,-90,-13,-5.0,9,-67,2,4,D
