,Date,Day,Timestamp,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,Rolling_avg
1237,2019.11.26,,14.13.03,1,5G,-100,-12,9.0,14,-85,16,27,D,
1257,2019.11.26,,14.13.25,1,5G,-101,-14,7.0,11,-83,8004,146,D,
1258,2019.11.26,,14.13.26,1,5G,-100,-17,6.0,12,-85,26928,170,D,
1293,2019.11.26,,14.14.04,1,5G,-100,-11,5.0,7,-83,16,27,D,
1300,2019.11.26,,14.14.11,1,5G,-101,-14,3.0,10,-86,19499,134,D,
1301,2019.11.26,,14.14.13,1,5G,-101,-14,3.0,10,-86,4992,21,D,
1342,2019.11.26,,14.14.57,1,5G,-101,-14,-1.0,8,-110,12805,85,D,
1343,2019.11.26,,14.14.58,1,5G,-101,-14,-1.0,11,-110,13929,67,D,
1348,2019.11.26,,14.15.03,1,5G,-101,-13,7.0,14,-83,18,32,D,
1382,2019.11.26,,14.15.40,1,5G,-101,-15,0.0,12,-110,11,0,D,
1384,2019.11.26,,14.15.42,1,5G,-101,-11,-3.0,12,-110,1782,30,D,
1385,2019.11.26,,14.15.43,1,5G,-101,-11,-3.0,7,-88,3554,70,D,
1386,2019.11.26,,14.15.44,1,5G,-101,-12,0.0,12,-84,2527,155,D,
1390,2019.11.26,,14.15.49,1,5G,-101,-12,9.0,12,-86,11,0,D,
1397,2019.11.26,,14.15.56,1,5G,-101,-13,0.0,12,-84,132,11,D,
1399,2019.11.26,,14.15.58,1,5G,-101,-12,5.0,10,-87,138,9,D,
1404,2019.11.26,,14.16.04,1,5G,-101,-12,-3.0,11,-110,159,53,D,
1409,2019.11.26,,14.16.09,1,5G,-102,-16,2.0,11,-110,11,0,D,
1410,2019.11.26,,14.16.10,1,5G,-101,-14,3.0,11,-110,11,0,D,
1411,2019.11.26,,14.16.11,1,5G,-101,-14,3.0,11,-110,11,1,D,
1412,2019.11.26,,14.16.12,1,5G,-100,-12,-1.0,12,-110,34,1,D,
1415,2019.11.26,,14.16.16,1,5G,-100,-12,0.0,12,-110,112,48,D,
1416,2019.11.26,,14.16.17,1,5G,-100,-12,5.0,12,-110,46,21,D,
1417,2019.11.26,,14.16.18,1,5G,-100,-12,5.0,12,-110,14,15,D,
1419,2019.11.26,,14.16.20,1,5G,-101,-13,-1.0,12,-110,31,26,D,
1424,2019.11.26,,14.16.25,1,5G,-102,-13,4.0,12,-110,1122,26,D,
1425,2019.11.26,,14.16.26,1,5G,-102,-13,4.0,11,-110,1081,24,D,
1427,2019.11.26,,14.16.29,1,5G,-102,-12,8.0,11,-84,11,0,D,
1428,2019.11.26,,14.16.30,1,5G,-101,-10,4.0,11,-84,814,30,D,
1429,2019.11.26,,14.16.31,1,5G,-101,-10,4.0,11,-84,205,18,D,
1430,2019.11.26,,14.16.32,1,5G,-102,-12,-3.0,11,-87,15993,210,D,
1431,2019.11.26,,14.16.33,1,5G,-102,-12,-3.0,11,-87,30804,246,D,
1459,2019.11.26,,14.17.03,1,5G,-101,-15,7.0,10,-85,16,27,D,
1473,2019.11.26,,14.17.18,1,5G,-102,-11,1.0,10,-85,5849,113,D,
1474,2019.11.26,,14.17.19,1,5G,-103,-13,-2.0,10,-85,10005,175,D,
1475,2019.11.26,,14.17.20,1,5G,-103,-13,-2.0,10,-85,4743,92,D,
1476,2019.11.26,,14.17.21,1,5G,-102,-17,-1.0,10,-85,11151,170,D,
1515,2019.11.26,,14.18.04,1,5G,-104,-12,4.0,12,-87,15,27,D,
1518,2019.11.26,,14.18.07,1,5G,-103,-16,-4.0,12,-87,5027,93,D,
1519,2019.11.26,,14.18.08,1,5G,-103,-16,-4.0,12,-85,9152,133,D,
